Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Mothers against decapentaplegic homolog 2	Smad2	1,57E-08	2,327203565
"Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(i) subunit alpha-1"	"Gnai2;Gnai3;Gnao1;Gnai1"	2,21E-10	2,290532899
Complement component 1 Q subcomponent-binding protein, mitochondrial	C1qbp	9,01E-32	2,287501063
"Proteasome subunit alpha type-5;Proteasome subunit alpha type"	"Psma5;Gm8394"	6,97E-10	2,196475361
Exportin-2	Cse1l	2,64E-17	2,174556265
182 kDa tankyrase-1-binding protein	Tnks1bp1	1,46E-06	2,154570167
Proteasome-associated protein ECM29 homolog	"AI314180;Ecm29"	7,02E-08	2,112661902
Exportin-1	Xpo1	1,31E-07	2,057992286
40S ribosomal protein S28	"Rps28;Gm10263"	7,70E-66	1,8605567
"Dynein light chain 1, cytoplasmic;Dynein light chain 2, cytoplasmic"	"Dynll1;Dynll2"	2,85E-17	1,857625775
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Plod1	3,26E-07	1,855744748
General transcription factor 3C polypeptide 5	Gtf3c5	3,73E-06	1,842852782
Protein scribble homolog	Scrib	1,55E-06	1,82756369
Cysteine-rich protein 2	Crip2	3,92E-22	1,810460056
14-3-3 protein theta	Ywhaq	7,50E-08	1,802084298
Cyclin-dependent kinase 4	Cdk4	6,47E-08	1,724468431
Triple functional domain protein	Trio	9,53E-06	1,716907942
Translocon-associated protein subunit alpha	Ssr1	4,31E-27	1,716338944
Nucleoside diphosphate kinase 7	Nme7	2,96E-09	1,682556995
SAM domain and HD domain-containing protein 1	Samhd1	9,75E-07	1,652311669
Cysteine--tRNA ligase, cytoplasmic	Cars	1,40E-07	1,648597816
Nucleolysin TIAR	"Tial1;Tia1"	3,45E-06	1,632718407
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Gfpt1	2,41E-10	1,631868644
Ubiquitin-conjugating enzyme E2 N	Ube2n	1,23E-06	1,623442887
NEDD8-conjugating enzyme Ubc12	Ube2m	1,13E-06	1,588790717
CTP synthase 1	Ctps1	6,29E-15	1,549028973
Vesicle-associated membrane protein-associated protein B	Vapb	2,08E-08	1,477944251
"Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B"	"Gspt1;Gspt2"	9,58E-07	1,476538409
GrpE protein homolog 1, mitochondrial	Grpel1	9,06E-08	1,440811686
Translin	Tsn	9,51E-07	1,438854746
Early endosome antigen 1	Eea1	1,39E-08	1,42035641
	Pcdh1	2,09E-08	1,386392914
Transketolase	Tkt	1,28E-07	1,340440727
Lymphokine-activated killer T-cell-originated protein kinase	Pbk	9,21E-08	1,296332259
Hepatoma-derived growth factor	Hdgf	2,02E-12	1,284475585
2-deoxynucleoside 5-phosphate N-hydrolase 1	Dnph1	1,45E-08	1,277708858
Glutaredoxin-3	Glrx3	9,44E-12	1,247970795
	Cnbp	9,22E-09	1,235144329
Alpha-mannosidase 2C1	Man2c1	6,25E-06	1,20639539
Stromal membrane-associated protein 1	Smap1	5,34E-10	1,072937934
Alanine--tRNA ligase, cytoplasmic	Aars	1,26E-10	1,042694544
A-kinase anchor protein 12	Akap12	1,93E-05	1,034721786
Protein PBDC1	Pbdc1	8,57E-07	1,030442409
Pyrroline-5-carboxylate reductase 3	Pycrl	9,92E-08	0,999740338
Methionine adenosyltransferase 2 subunit beta	Mat2b	1,67E-30	0,998500377
Hydroxymethylglutaryl-CoA synthase, cytoplasmic	Hmgcs1	4,00E-09	0,960524666
Eukaryotic translation initiation factor 3 subunit G	Eif3g	8,08E-10	0,923112591
	Nfu1	4,91E-12	0,921116953
Isochorismatase domain-containing protein 2A, mitochondrial	Isoc2a	1,64E-09	0,910881556
Sorting nexin-1	Snx1	1,70E-09	0,878215367
Inorganic pyrophosphatase 2, mitochondrial	Ppa2	5,27E-08	0,860320959
Acylphosphatase-2	Acyp2	7,44E-09	0,859875776
Thioredoxin	Txn	1,04E-10	0,815503873
Galectin-1	Lgals1	1,07E-09	0,722562688
Copper transport protein ATOX1	Atox1	3,79E-06	0,533492946
Mesoderm-specific transcript protein	Mest	9,35E-08	-0,296075575
Methyl-CpG-binding domain protein 3	Mbd3	1,66E-07	-0,394514142
Transmembrane protein 131	Tmem131	2,78E-12	-0,839717775
DNA polymerase epsilon catalytic subunit A	Pole	3,44E-06	-1,067019106
Mitochondrial import receptor subunit TOM20 homolog	Tomm20	2,34E-06	#VALUE!
Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	6,95E-05	#VALUE!
Synaptotagmin-6	Syt6	0,00015137	#VALUE!
39S ribosomal protein L11, mitochondrial	Mrpl11	0,00041529	#VALUE!
Spermatid perinuclear RNA-binding protein	Strbp	5,47E-05	#VALUE!
Nucleolar complex protein 4 homolog	Noc4l	5,44E-06	#VALUE!
Coiled-coil domain-containing protein 167	Ccdc167	5,99E-05	#VALUE!
Centromere protein U	Mlf1ip	3,67E-05	#VALUE!
p53 and DNA damage-regulated protein 1	Pdrg1	3,70E-06	#VALUE!
Zinc finger HIT domain-containing protein 3	Znhit3	0,00027073	#VALUE!
39S ribosomal protein L40, mitochondrial	Mrpl40	8,02E-07	#VALUE!
Cytoskeleton-associated protein 2	Ckap2	3,53E-05	#VALUE!
Polycomb protein EED	Eed	0,00021499	#VALUE!
	Pms1	7,77E-05	#VALUE!
Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	Ptpmt1	3,41E-06	#VALUE!
Transcriptional repressor p66 alpha	Gatad2a	0,00051277	#VALUE!
Heterogeneous nuclear ribonucleoprotein L	Hnrnpl	5,54E-06	#VALUE!
39S ribosomal protein L55, mitochondrial	Mrpl55	0,00027988	#VALUE!
Mitochondrial pyruvate carrier 2	Mpc2	4,69E-05	#VALUE!
39S ribosomal protein L22, mitochondrial	Mrpl22	6,39E-07	#VALUE!
U6 snRNA-associated Sm-like protein LSm4	Lsm4	0,00020866	#VALUE!
Cytochrome b-c1 complex subunit 8	Uqcrq	1,26E-08	#VALUE!
G2/mitotic-specific cyclin-B1	Ccnb1	6,52E-05	#VALUE!
Peptidyl-tRNA hydrolase ICT1, mitochondrial	Ict1	1,11E-08	#VALUE!
39S ribosomal protein L23, mitochondrial	Mrpl23	5,96E-09	#VALUE!
	Nxf7	0,00027787	#VALUE!
Transmembrane protein 33	Tmem33	4,67E-06	#VALUE!
Ras suppressor protein 1	Rsu1	2,83E-05	#VALUE!
Squalene monooxygenase	Sqle	8,19E-16	#VALUE!
Kinetochore protein Spc25	Spc25	0,0001273	#VALUE!
Mitochondrial import inner membrane translocase subunit Tim13	Timm13	1,03E-06	#VALUE!
DNA-directed RNA polymerases I, II, and III subunit RPABC3	Polr2h	4,50E-06	#VALUE!
Protein yippee-like 5	Ypel5	0,00017801	#VALUE!
	Helz2	0,00073191	#VALUE!
WD repeat-containing protein 1	Wdr1	0,00033873	#VALUE!
Phostensin	Ppp1r18	0,00010442	#VALUE!
Serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	3,97E-05	#VALUE!
Prefoldin subunit 6	"H2-Ke2;Pfdn6"	1,66E-05	#VALUE!
Unconventional myosin-Ic	Myo1c	0,00041671	#VALUE!
Acyl-coenzyme A thioesterase 13	Acot13	2,42E-05	#VALUE!
"MLV-related proviral Env polyprotein;Surface protein;Transmembrane protein;Retrovirus-related Env polyprotein from Fv-4 locus"	"Fv4;BC035947"	7,39E-06	#VALUE!
"Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2"	"Eif5a;Eif5a2"	1,21E-05	#VALUE!
Proteasome assembly chaperone 3	Psmg3	0,00020119	#VALUE!
Signal peptidase complex subunit 2	Spcs2	0,00066532	#VALUE!
Nestin	Nes	0,00025231	#VALUE!
Protein CIP2A	"Kiaa1524;C330027C09Rik"	0,0017726	#VALUE!
PRKCA-binding protein	Pick1	6,77E-06	#VALUE!
SH3 domain-binding glutamic acid-rich-like protein	Sh3bgrl	0,00015219	#VALUE!
Superoxide dismutase [Cu-Zn]	Sod1	5,20E-06	#VALUE!
Putative peptidyl-tRNA hydrolase PTRHD1	Ptrhd1	0,00011171	#VALUE!
"FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region"	Flad1	8,67E-05	#VALUE!
Heat shock protein 75 kDa, mitochondrial	Trap1	0,00016762	#VALUE!
Platelet-activating factor acetylhydrolase IB subunit beta	Pafah1b2	0,001965	#VALUE!
"Serine/threonine-protein kinase MARK2;MAP/microtubule affinity-regulating kinase 3;Serine/threonine-protein kinase MARK1"	"Mark2;Mark3;Mark1"	0,00038289	6,356620325
2,4-dienoyl-CoA reductase, mitochondrial	Decr1	3,07E-07	6,269679157
28S ribosomal protein S28, mitochondrial	Mrps28	1,98E-06	6,156884445
"Serine/threonine-protein kinase MRCK alpha;Serine/threonine-protein kinase MRCK beta"	"Cdc42bpa;Cdc42bpb"	0,0011096	6,147444973
"Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain"	"Pisd;Gm20671"	4,11E-08	6,085490583
60S acidic ribosomal protein P1	"Rplp1;Gm10073"	2,21E-76	5,746460852
RRP15-like protein	Rrp15	8,39E-07	5,740277974
40S ribosomal protein S29	"Rps29;Gm10126"	8,51E-15	5,678164241
DDRGK domain-containing protein 1	Ddrgk1	0,00053461	5,602192658
Protein SCAF8	Scaf8	1,34E-25	5,602052502
Stromal cell-derived factor 2	Sdf2	0,00027148	5,394714286
Fanconi anemia group J protein homolog	Brip1	7,99E-06	5,352901047
RNA pseudouridylate synthase domain-containing protein 3	Rpusd3	0,00015381	5,338877954
39S ribosomal protein L15, mitochondrial	Mrpl15	0,00010629	5,318124399
39S ribosomal protein L1, mitochondrial	Mrpl1	3,93E-07	5,297835406
Histone deacetylase complex subunit SAP130	Sap130	5,27E-05	5,283210987
Leucine zipper protein 1	Luzp1	4,67E-06	5,249287173
39S ribosomal protein L43, mitochondrial	Mrpl43	8,61E-05	5,245998478
Cleavage and polyadenylation specificity factor subunit 4	Cpsf4	9,17E-07	5,245122757
Putative ribosomal RNA methyltransferase NOP2	Nop2	0,00042139	5,22680033
Polypyrimidine tract-binding protein 2	Ptbp2	4,19E-11	5,225180477
RNA polymerase II-associated factor 1 homolog	Paf1	0,00015645	5,162608922
U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	6,37E-07	5,145298942
Acyl-CoA dehydrogenase family member 10	"Acad12;Acad10"	2,60E-11	5,13760971
Small nuclear ribonucleoprotein E	Snrpe	8,90E-06	5,060000179
Proteasome subunit beta type-2	Psmb2	0,00027625	5,059230357
Periodic tryptophan protein 1 homolog	Pwp1	5,40E-05	5,050550231
Stromal cell-derived factor 2-like protein 1	Sdf2l1	5,43E-07	5,030135962
Serine/arginine repetitive matrix protein 1	Srrm1	0,00012841	5,025241637
Krueppel-like factor 16	Klf16	6,18E-13	4,990199951
Serine/threonine-protein kinase DCLK1	Dclk1	3,47E-06	4,938851468
Zinc finger protein 281	Znf281	2,96E-15	4,928577797
Growth arrest and DNA damage-inducible proteins-interacting protein 1	Gadd45gip1	2,03E-05	4,881124691
"Solute carrier family 25 member 33;Solute carrier family 25 member 36"	"Slc25a33;Slc25a36"	2,02E-07	4,870872638
U4/U6.U5 tri-snRNP-associated protein 1	Sart1	7,00E-09	4,851750484
28S ribosomal protein S5, mitochondrial	Mrps5	2,65E-06	4,84054648
"Presenilins-associated rhomboid-like protein, mitochondrial;P-beta"	Parl	2,43E-05	4,827952913
39S ribosomal protein L21, mitochondrial	Mrpl21	0,00021332	4,784125123
"Double-strand-break repair protein rad21 homolog;Double-strand-break repair protein rad21-like protein 1"	"Rad21;Rad21l1"	1,77E-06	4,770633574
DNA-directed RNA polymerases I and III subunit RPAC2	Polr1d	6,17E-05	4,7578524
Peroxisome biogenesis factor 10	Pex10	9,23E-06	4,750105688
TBC1 domain family member 10B	Tbc1d10b	0,00018915	4,681862512
Ribonuclease P protein subunit p30	Rpp30	5,76E-05	4,680715034
Serine/threonine-protein phosphatase 1 regulatory subunit 10	Ppp1r10	4,98E-05	4,657008416
Protein PAT1 homolog 1	Patl1	3,37E-06	4,631895471
Ribonuclease P protein subunit p25-like protein	Rpp25l	7,32E-05	4,614650695
Sulfhydryl oxidase 2	Qsox2	1,76E-28	4,609253084
Exosome complex exonuclease RRP42	Exosc7	2,24E-08	4,58225278
Probable ATP-dependent RNA helicase YTHDC2	Ythdc2	5,95E-07	4,576355141
	"Dmrtc1c1;Dmrtc1c2"	4,93E-07	4,562277951
39S ribosomal protein L19, mitochondrial	Mrpl19	4,63E-05	4,544729338
Ankyrin repeat and LEM domain-containing protein 2	Ankle2	1,84E-11	4,511608391
Cleavage and polyadenylation specificity factor subunit 6	Cpsf6	6,88E-17	4,499907744
"ELKS/Rab6-interacting/CAST family member 1;ERC protein 2"	"Erc1;Erc2"	1,10E-15	4,486230343
Coiled-coil domain-containing protein 47	Ccdc47	0,00059917	4,466512401
"Formin-like protein 3;Formin-like protein 2"	"Fmnl3;Fmnl2"	3,97E-06	4,451283248
Nuclear fragile X mental retardation-interacting protein 1	Nufip1	0,00034439	4,435900885
Probable ATP-dependent RNA helicase DDX28	Ddx28	0,00024756	4,431971788
Histone-lysine N-methyltransferase NSD2	Whsc1	0,00072649	4,413622429
Unconventional prefoldin RPB5 interactor	Uri1	1,51E-07	4,371385028
Microtubule-associated protein 9	Map9	0,00025992	4,330639366
	Zfp219	1,13E-08	4,310919161
Serine/threonine-protein kinase SMG1	Smg1	0,00090419	4,270820541
Box C/D snoRNA protein 1	Znhit6	0,00023727	4,260525146
Transcription activator BRG1	Smarca4	0,00012389	4,245505819
	Erich1	6,44E-10	4,243400234
TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L	Taf6l	5,27E-06	4,218074651
Exocyst complex component 1	Exoc1	3,03E-05	4,213570917
"DnaJ homolog subfamily B member 6;DnaJ homolog subfamily B member 7"	"Dnajb6;Dnajb7"	3,63E-06	4,193713892
"G protein-coupled receptor kinase 6;G protein-coupled receptor kinase 4;G protein-coupled receptor kinase 5"	"Grk6;Grk4;Grk5"	9,36E-07	4,183270877
Arginine and glutamate-rich protein 1	Arglu1	4,44E-05	4,169627837
Cytochrome b-c1 complex subunit 9	Uqcr10	8,11E-08	4,164392788
Exocyst complex component 2	Exoc2	1,08E-13	4,131098348
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Plcb3	3,77E-05	4,112936466
RNA-binding protein Musashi homolog 2	Msi2	1,71E-05	4,108674144
Serum response factor-binding protein 1	Srfbp1	1,54E-06	4,099964424
Selenocysteine insertion sequence-binding protein 2-like	Secisbp2l	0,00018104	4,064217426
Protein arginine N-methyltransferase 5	Prmt5	0,0013127	4,050813223
Dual specificity mitogen-activated protein kinase kinase 7	Map2k7	0,00011069	4,000715754
Protein argonaute-2	Eif2c2	0,00048558	3,996518653
Dimethyladenosine transferase 1, mitochondrial	Tfb1m	1,07E-06	3,988710475
Mortality factor 4-like protein 1	Morf4l1	8,99E-05	3,983954459
Survival motor neuron protein	Smn1	4,80E-17	3,975442019
Lon protease homolog 2, peroxisomal	Lonp2	1,70E-05	3,972336352
	Fubp3	5,12E-06	3,95296982
Ribosomal RNA-processing protein 7 homolog A	Rrp7a	5,74E-07	3,952232697
Polyadenylate-binding protein 2	"Pabpn1;Gm20521"	3,83E-11	3,912955431
"Cyclic AMP-dependent transcription factor ATF-6 beta;Processed cyclic AMP-dependent transcription factor ATF-6 beta"	Atf6b	7,97E-06	3,908420663
Glycerol-3-phosphate acyltransferase 1, mitochondrial	Gpam	5,08E-05	3,9044617
DNA-directed RNA polymerase	Polr3a	1,89E-05	3,89498711
Protein TANC1	Tanc1	0,00018368	3,894836879
"Microtubule-associated protein;Microtubule-associated protein 2"	Map2	8,14E-05	3,877685101
Protein NipSnap homolog 1	Nipsnap1	1,37E-05	3,873724879
"Prothymosin alpha;Thymosin alpha"	Ptma	2,88E-06	3,864848674
Protein regulator of cytokinesis 1	Prc1	4,55E-06	3,85677901
7-dehydrocholesterol reductase	Dhcr7	0,0001709	3,853188397
HCLS1-associated protein X-1	Hax1	9,07E-05	3,848775018
Cell division cycle and apoptosis regulator protein 1	Ccar1	2,80E-06	3,845950885
28S ribosomal protein S34, mitochondrial	Mrps34	1,24E-06	3,803916752
SUN domain-containing protein 1	Sun1	2,69E-06	3,796099752
Eukaryotic initiation factor 4A-III	Eif4a3	1,98E-12	3,756681888
Mitochondrial dicarboxylate carrier	Slc25a10	1,69E-05	3,753584616
U3 small nucleolar RNA-associated protein 14 homolog A	Utp14a	0,0001459	3,744255162
Zinc finger C2HC domain-containing protein 1A	Zc2hc1a	0,00018429	3,737850719
N-acylneuraminate cytidylyltransferase	Cmas	4,54E-05	3,703294749
Nucleoplasmin-3	Npm3	5,34E-13	3,695703918
Ankyrin repeat and zinc finger domain-containing protein 1	Ankzf1	0,00023828	3,692417596
Ancient ubiquitous protein 1	Aup1	0,0006081	3,678441282
mTERF domain-containing protein 2	Mterfd2	0,00081028	3,669547153
Uncharacterized protein C8orf59 homolog		2,18E-09	3,654917066
Macrophage erythroblast attacher	Maea	7,36E-07	3,653228014
Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	Ppp1cc	6,07E-06	3,637701814
	Haus6	2,77E-05	3,632056443
Probable E3 ubiquitin-protein ligase MYCBP2	Mycbp2	5,90E-05	3,623958609
Lipoyl synthase, mitochondrial	Lias	7,53E-05	3,621399598
Cyclin-T1	Ccnt1	7,00E-10	3,620370167
U2 small nuclear ribonucleoprotein A	Snrpa1	1,45E-05	3,60164963
Pre-mRNA-splicing factor RBM22	Rbm22	3,73E-11	3,549637013
"Muscleblind-like protein 1;Muscleblind-like protein 2"	"Mbnl1;Mbnl2"	1,30E-06	3,531239452
Coatomer subunit beta	Copb1	7,16E-06	3,530572426
RNA-binding protein Raly	Raly	8,55E-05	3,492289578
Pre-mRNA-splicing factor ISY1 homolog	Isy1	0,00072698	3,463724245
Mitochondrial import inner membrane translocase subunit Tim9	Timm9	0,00042373	3,463485511
FERM domain-containing protein 4A	Frmd4a	7,37E-08	3,440200836
Muskelin	Mkln1	0,00031025	3,43763496
ATP synthase subunit e, mitochondrial	Atp5i	0,00024052	3,422180141
p21-activated protein kinase-interacting protein 1	Pak1ip1	0,00044944	3,392909771
Microtubule-associated protein 6	Map6	7,21E-08	3,380175721
DNA-directed RNA polymerase I subunit RPA49	Polr1e	0,00030783	3,377834293
"Histone H3;Histone H3.3;Histone H3.2;Histone H3.1;Histone H3.3C"	"H3f3a;Hist1h3b;Hist1h3a;H3f3c"	2,57E-05	3,365261772
Transcriptional adapter 1	Tada1	2,32E-06	3,358202446
Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial	Idh3g	1,56E-05	3,328797223
Eukaryotic translation initiation factor 4E type 2	Eif4e2	0,0016702	3,285741292
Polymerase delta-interacting protein 2	Poldip2	8,75E-06	3,27900365
Probable JmjC domain-containing histone demethylation protein 2C	Jmjd1c	7,02E-05	3,266454759
Ubiquitin carboxyl-terminal hydrolase 8	Usp8	3,82E-07	3,254151723
tRNA methyltransferase 112 homolog	Trmt112	1,94E-05	3,2523634
	Utrn	4,15E-05	3,23908928
Nuclear-interacting partner of ALK	Zc3hc1	9,28E-16	3,233786498
Probable ATP-dependent RNA helicase DDX46	Ddx46	1,08E-06	3,233379398
NHP2-like protein 1	Nhp2l1	4,44E-07	3,231887679
tRNA wybutosine-synthesizing protein 3 homolog	Tyw3	2,64E-05	3,228097523
Zinc finger protein ubi-d4	Dpf2	6,45E-05	3,223508537
Exosome complex component RRP41	Exosc4	5,15E-06	3,219874712
	Pcf11	0,00079486	3,203435469
Obg-like ATPase 1	Ola1	1,71E-10	3,201708883
"Glutathione S-transferase Mu 7;Glutathione S-transferase Mu 2;Glutathione S-transferase Mu 1;Glutathione S-transferase Mu 5"	"Gstm7;Gm6665;Gstm5;Gstm2;Gstm4;Gstm1;Gm4845"	0,00023619	3,199321632
"Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6"	Hcfc1	6,84E-05	3,167863421
"Mitochondrial Rho GTPase 1;Mitochondrial Rho GTPase 2"	"Rhot1;Rhot2"	2,81E-08	3,140253033
Heat shock 70 kDa protein 4L	Hspa4l	0,00029109	3,123559672
WD repeat-containing protein 46	Wdr46	4,78E-12	3,120168787
	Iqgap3	1,89E-06	3,118789598
Sequestosome-1	Sqstm1	8,55E-14	3,118163129
High mobility group protein B2	Hmgb2	2,52E-05	3,111040546
Golgi-associated plant pathogenesis-related protein 1	Glipr2	1,77E-05	3,095296263
Cysteine desulfurase, mitochondrial	Nfs1	9,34E-06	3,088776291
Vesicle-trafficking protein SEC22b	Sec22b	6,35E-05	3,053853072
Integrator complex subunit 6	Ints6	0,0001612	3,051698188
Serine/threonine-protein phosphatase 6 catalytic subunit	Ppp6c	3,03E-05	2,982676667
Kalirin	Kalrn	0,00014986	2,959149641
WD repeat-containing protein 74	Wdr74	9,12E-09	2,944082485
Digestive organ expansion factor homolog	Diexf	0,00031039	2,940201736
6-phosphogluconate dehydrogenase, decarboxylating	Pgd	3,90E-08	2,924344155
"N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 16, NatA auxiliary subunit"	"Naa15;Naa16"	0,00068487	2,915391425
Guanine nucleotide-binding protein-like 3	Gnl3	4,36E-05	2,884913473
Adenosylhomocysteinase	Ahcy	2,06E-05	2,879594972
Plasma membrane calcium-transporting ATPase 2	"Atp2b4;Atp2b3;Atp2b1;Atp2b2"	0,00020558	2,845183511
"Collagen alpha-2(IV) chain;Canstatin"	Col4a2	9,13E-05	2,841662973
ATP synthase subunit delta, mitochondrial	Atp5d	5,72E-06	2,811776337
	Tex13	5,93E-05	2,806619335
Ribose-phosphate pyrophosphokinase	Prps1l1	6,95E-21	2,778432211
Ubiquitin-conjugating enzyme E2 O	Ube2o	2,70E-08	2,759746738
Uncharacterized protein C19orf43 homolog		4,03E-05	2,726901911
Protein SDA1 homolog	Sdad1	5,37E-05	2,716149327
Ubiquitin-conjugating enzyme E2 S	Ube2s	2,81E-07	2,712456783
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	Agap3	7,34E-08	2,703501478
"Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase 1, mitochondrial"	"Pycr2;Pycr1"	3,55E-05	2,684642451
"Proteasome subunit beta type-3;Proteasome subunit beta type"	"Psmb3;Gm4950"	4,95E-05	2,658537929
Basigin	Bsg	1,78E-06	2,646292794
Splicing factor 3B subunit 4	Sf3b4	1,10E-06	2,645480135
Protein LSM12 homolog	Lsm12	2,20E-06	2,624243224
Catenin delta-1	Ctnnd1	6,50E-05	2,6085842
Emerin	Emd	9,63E-18	2,600686695
"H-2 class I histocompatibility antigen, K-K alpha chain;H-2 class I histocompatibility antigen, alpha chain;H-2 class I histocompatibility antigen, Q10 alpha chain;H-2 class I histocompatibility antigen, Q8 alpha chain;H-2 class I histocompatibility antigen, K-Q alpha chain;H-2 class I histocompatibility antigen, Q7 alpha chain;H-2 class I histocompatibility antigen, D-K alpha chain;H-2 class I histocompatibility antigen, D-B alpha chain;H-2 class I histocompatibility antigen, L-D alpha chain;H-2 class I histocompatibility antigen, K-W28 alpha chain;H-2 class I histocompatibility antigen, K-B alpha chain"	"H2-Q4;H2-K1;H2-Q7;H2-Q10;H2-Q6;H2-Q8;H2-Q1;H2-D1;H2-L;Gm8909"	9,33E-06	2,588400207
Rho GTPase-activating protein 11A	Arhgap11a	6,91E-05	2,581302701
Ras GTPase-activating protein 3	Rasa3	0,00017083	2,561409058
26S protease regulatory subunit 7	Psmc2	1,45E-06	2,519279906
	Rasal2	2,30E-15	2,498260245
26S proteasome non-ATPase regulatory subunit 7	Psmd7	2,07E-05	2,493134057
DNA-directed RNA polymerase II subunit RPB11	Polr2j	2,76E-05	2,480357457
Sodium/potassium-transporting ATPase subunit beta-1	Atp1b1	1,21E-06	2,478989478
WD repeat-containing protein 5	Wdr5	1,46E-06	2,47730141
Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	2,85E-26	2,456642701
Sideroflexin-1	Sfxn1	3,72E-05	2,441046698
	Nup153	4,72E-05	2,436197561
26S proteasome non-ATPase regulatory subunit 10	Psmd10	0,0010129	2,409124964
Large proline-rich protein BAG6	Bag6	0,00058655	2,399730246
Uncharacterized methyltransferase WBSCR22	Wbscr22	0,00079365	2,362677255
V-type proton ATPase subunit G 1	Atp6v1g1	2,96E-05	2,28208783
Mitogen-activated protein kinase 3	Mapk3	9,98E-05	2,262572817
Voltage-dependent anion-selective channel protein 3	Vdac3	0,00024688	2,250577291
Neugrin	Ngrn	2,49E-07	2,220210793
Programmed cell death protein 4	Pdcd4	1,61E-05	2,212500668
26S proteasome non-ATPase regulatory subunit 12	Psmd12	2,95E-07	2,182065727
Gamma-taxilin	Txlng	0,0011275	2,175924644
Pre-mRNA-processing factor 6	Prpf6	4,54E-05	2,146563181
Ribosomal protein S6 kinase alpha-2	Rps6ka2	0,0012684	2,14012584
39S ribosomal protein L9, mitochondrial	Mrpl9	0,00011593	2,129986502
Hsp70-binding protein 1	Hspbp1	0,00011866	2,085894763
"E3 SUMO-protein ligase RanBP2;Putative peptidyl-prolyl cis-trans isomerase"	Ranbp2	0,0022911	2,077041036
Leucine-rich repeat-containing protein 40	Lrrc40	1,55E-07	2,066125258
"Protein lin-7 homolog C;Protein lin-7 homolog A"	"Lin7c;Lin7a"	6,63E-08	2,055351416
Protein RTF2 homolog	Rtfdc1	4,35E-05	2,044300347
Patatin-like phospholipase domain-containing protein 7	Pnpla7	3,61E-09	2,040140838
Prostaglandin E synthase 3	Ptges3	5,86E-05	2,0344558
Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	Suclg2	4,69E-06	2,029264121
ADP-ribosylation factor 4	"Arf4;Arf3"	6,93E-06	1,998039268
Kinetochore-associated protein NSL1 homolog	Nsl1	6,47E-05	1,976531719
Phosphoserine aminotransferase	Psat1	0,00029278	1,966686251
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	Ndufa2	5,02E-06	1,946137962
Methionine aminopeptidase 1	Metap1	9,47E-07	1,932526487
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Pin1	4,85E-05	1,915935735
Low molecular weight phosphotyrosine protein phosphatase	Acp1	5,26E-05	1,850948793
Zinc finger protein 771	Znf771	1,38E-05	1,823013485
Actin-related protein 2	Actr2	1,53E-05	1,823013485
BRCA2 and CDKN1A-interacting protein	Bccip	1,40E-08	1,822707245
	Wdr36	0,00030023	1,817307702
	Aamp	5,14E-06	1,782992686
Zinc finger CCCH domain-containing protein 8	Zc3h8	2,61E-05	1,774182156
Serine/threonine-protein kinase Chk1	Chek1	0,00012402	1,761164236
PDZ and LIM domain protein 3	Pdlim3	6,24E-06	1,734419082
Putative helicase MOV-10	Mov10	0,00012919	1,713166154
Paired amphipathic helix protein Sin3b	Sin3b	0,00052449	1,711228033
Akirin-2	Akirin2	0,00042751	1,670841952
Spermidine synthase	Srm	1,76E-05	1,654535494
Afadin	Mllt4	0,00077361	1,622598569
